Date,Open,High,Low,Close,Adj Close
2014-09-12,12059.62,12167.29,11844.27,12059.62,5918346
2014-09-15,12274.97,12382.64,11951.94,12059.62,7448505
2014-09-16,12059.62,12167.29,11844.27,12059.62,7590039
2014-09-17,12274.97,12382.64,12059.62,12167.29,10167053
2014-09-18,12167.29,12167.29,11736.59,11844.27,7809912
2014-09-19,11844.27,11844.27,11628.92,11628.92,6961996
2014-09-22,11628.92,11736.59,11413.57,11413.57,6705851
2014-09-23,11413.57,11628.92,11305.89,11305.89,6132272
2014-09-24,11305.89,11521.24,11198.22,11305.89,4751644
2014-09-25,11413.57,11521.24,11198.22,11521.24,5162137
2014-09-26,11521.24,11521.24,11305.89,11305.89,4361719
2014-09-29,11305.89,11413.57,11198.22,11198.22,5959116
2014-09-30,11198.22,11413.57,11090.54,11198.22,4218926
2014-10-01,11305.89,11628.92,11305.89,11521.24,3856197
2014-10-02,11521.24,11628.92,11413.57,11628.92,5192315
2014-10-03,11521.24,11628.92,11413.57,11521.24,3622737
2014-10-06,11521.24,11628.92,11413.57,11521.24,2655241
2014-10-07,11521.24,11628.92,11413.57,11521.24,4015586
2014-10-08,11521.24,11521.24,11305.89,11413.57,2903719
2014-10-09,11521.24,11521.24,11305.89,11305.89,4418741
2014-10-10,11305.89,11413.57,11090.54,11198.22,4982361
2014-10-13,11198.22,11521.24,11198.22,11521.24,2565294
2014-10-14,11521.24,11521.24,11198.22,11198.22,1772217
2014-10-15,11090.54,11305.89,10982.87,11198.22,3780478
2014-10-16,11090.54,11090.54,10659.84,10702.91,7393894
2014-10-17,10745.98,10875.19,10552.17,10875.19,12679654
2014-10-20,10875.19,10982.87,10767.52,10767.52,1831887
2014-10-21,10767.52,10875.19,10724.45,10767.52,1602076
2014-10-22,10875.19,10982.87,10767.52,10875.19,1904560
2014-10-23,10767.52,10982.87,10724.45,10745.98,3107485
2014-10-24,10767.52,10875.19,10681.38,10724.45,2230257
2014-10-27,10659.84,10724.45,10487.56,10487.56,2690115
2014-10-28,10444.49,10595.24,10444.49,10552.17,1779832
2014-10-29,10552.17,10875.19,10552.17,10767.52,2206297
2014-10-30,10767.52,10875.19,10767.52,10767.52,2393343
2014-10-31,10767.52,10982.87,10745.98,10982.87,1772168
2014-11-03,11090.54,11198.22,10982.87,11090.54,2043733
2014-11-04,10982.87,11090.54,10875.19,10982.87,1778209
2014-11-05,10982.87,11090.54,10767.52,10875.19,2304051
2014-11-06,10982.87,10982.87,10745.98,10767.52,1762838
2014-11-07,10767.52,10875.19,10745.98,10875.19,2333117
2014-11-10,10875.19,11090.54,10767.52,10875.19,2405652
2014-11-11,10982.87,10982.87,10875.19,10982.87,1377690
2014-11-12,10982.87,10982.87,10875.19,10875.19,1152851
2014-11-13,10875.19,10982.87,10875.19,10875.19,1494994
2014-11-14,10875.19,10875.19,10724.45,10767.52,2135809
2014-11-17,10875.19,10875.19,10745.98,10745.98,1406072
2014-11-18,10767.52,10767.52,10573.7,10573.7,1705164
2014-11-19,10616.77,10659.84,10552.17,10552.17,3110458
2014-11-20,10573.7,10616.77,10509.1,10552.17,1702837
2014-11-21,10616.77,10745.98,10552.17,10573.7,1858771
2014-11-24,10552.17,10552.17,10466.03,10509.1,1343473
2014-11-25,10509.1,10616.77,10509.1,10595.24,1060723
2014-11-26,10659.84,10659.84,10509.1,10509.1,1043355
2014-11-27,10573.7,10573.7,10444.49,10487.56,1444894
2014-11-28,10530.63,10530.63,10358.35,10358.35,2444193
2014-12-01,10336.82,10422.96,10293.75,10293.75,3534841
2014-12-02,10315.28,10315.28,10207.6,10272.21,13889778
2014-12-03,10358.35,10552.17,10293.75,10379.88,2830866
2014-12-04,10379.88,10530.63,10379.88,10466.03,1537668
2014-12-05,10509.1,10530.63,10444.49,10487.56,2360977
2014-12-08,10487.56,10487.56,10379.88,10401.42,2925456
2014-12-09,10358.35,10358.35,10164.54,10164.54,4530513
2014-12-10,10143.0,10293.75,10121.46,10272.21,2148348
2014-12-11,10229.14,10272.21,10164.54,10207.6,1482084
2014-12-12,10250.67,10444.49,10229.14,10358.35,1033652
2014-12-15,10358.35,10358.35,10293.75,10293.75,821071
2014-12-16,10272.21,10293.75,10164.54,10164.54,2438898
2014-12-17,10186.07,10186.07,9647.69,9733.83,5236246
2014-12-18,9798.44,10035.32,9798.44,9949.18,1950531
2014-12-19,10121.46,10121.46,9819.97,9819.97,1986097
2014-12-22,9949.18,10013.79,9906.11,9970.72,1213079
2014-12-23,9970.72,10143.0,9949.18,10099.93,1354899
2014-12-24,10164.54,10207.6,10078.39,10099.93,1043448
2014-12-25,10035.32,10078.39,9992.25,10013.79,468019
2014-12-26,10013.79,10013.79,9906.11,9949.18,3887468
2014-12-29,10078.39,10078.39,9863.04,9884.58,1804400
2014-12-30,9927.65,9970.72,9776.9,9970.72,1455851
2014-12-31,10056.86,10336.82,10013.79,10336.82,2188611
2015-01-05,10336.82,10379.88,10250.67,10293.75,3277384
2015-01-06,10229.14,10358.35,10186.07,10358.35,1801426
2015-01-07,10358.35,10573.7,10358.35,10422.96,1883245
2015-01-08,10401.42,10422.96,10293.75,10315.28,2420120
2015-01-09,10315.28,10444.49,10315.28,10401.42,1718722
2015-01-12,10401.42,10595.24,10401.42,10466.03,3153225
2015-01-13,10422.96,10509.1,10422.96,10487.56,8321593
2015-01-14,10487.56,10530.63,10379.88,10466.03,2048374
2015-01-15,10509.1,10509.1,10422.96,10487.56,1309065
2015-01-16,10509.1,10509.1,10422.96,10444.49,809555
2015-01-19,10444.49,10444.49,10336.82,10336.82,1704279
2015-01-20,10336.82,10379.88,10315.28,10336.82,1742547
2015-01-21,10379.88,10509.1,10379.88,10422.96,2819860
2015-01-22,10466.03,10466.03,10379.88,10379.88,1389354
2015-01-23,10422.96,10487.56,10379.88,10422.96,1793718
2015-01-26,10422.96,10487.56,10422.96,10422.96,1783917
2015-01-27,10401.42,10466.03,10336.82,10336.82,1969616
2015-01-28,10315.28,10401.42,10293.75,10315.28,1210436
2015-01-29,10315.28,10336.82,10293.75,10315.28,1042294
2015-01-30,10336.82,10358.35,10229.14,10229.14,2820830
2015-02-02,10250.67,10293.75,10186.07,10207.6,1273997
2015-02-03,10207.6,10229.14,10121.46,10121.46,961997
2015-02-04,10207.6,10207.6,10056.86,10099.93,1425761
2015-02-05,10121.46,10229.14,10099.93,10164.54,849715
2015-02-06,10229.14,10229.14,10164.54,10186.07,531126
2015-02-09,10272.21,10272.21,10164.54,10164.54,1763901
2015-02-10,10164.54,10186.07,10121.46,10143.0,2806156
2015-02-11,10186.07,10229.14,10164.54,10229.14,1343846
2015-02-12,10315.28,10379.88,10293.75,10293.75,2020512
2015-02-13,10336.82,10379.88,10293.75,10336.82,923277
2015-02-24,10379.88,10509.1,10379.88,10466.03,2512778
2015-02-25,10509.1,10552.17,10422.96,10444.49,2546931
2015-02-26,10422.96,10552.17,10422.96,10552.17,1540270
2015-02-27,10573.7,10616.77,10487.56,10509.1,1462447
2015-03-02,10552.17,10552.17,10422.96,10444.49,2188376
2015-03-03,10509.1,10530.63,10466.03,10530.63,996232
2015-03-04,10595.24,10875.19,10595.24,10767.52,4706270
2015-03-05,10875.19,10982.87,10767.52,10767.52,1827431
2015-03-06,10767.52,10875.19,10745.98,10767.52,1556242
2015-03-09,10745.98,10767.52,10595.24,10595.24,3718113
2015-03-10,10659.84,10702.91,10616.77,10702.91,1524899
2015-03-11,10702.91,10702.91,10638.31,10659.84,1361257
2015-03-12,10659.84,10659.84,10573.7,10595.24,1709483
2015-03-13,10659.84,10702.91,10573.7,10595.24,1764048
2015-03-16,10595.24,10638.31,10595.24,10638.31,995994
2015-03-17,10659.84,10875.19,10659.84,10767.52,3471400
2015-03-18,10767.52,10767.52,10681.38,10681.38,1478650
2015-03-19,10745.98,10767.52,10659.84,10659.84,1172168
2015-03-20,10659.84,10745.98,10638.31,10724.45,2140226
2015-03-23,10724.45,10745.98,10638.31,10638.31,1276466
2015-03-24,10659.84,10659.84,10509.1,10573.7,2085151
2015-03-25,10659.84,10659.84,10552.17,10595.24,1133680
2015-03-26,10638.31,10638.31,10595.24,10616.77,1281948
2015-03-27,10681.38,10681.38,10595.24,10595.24,1053530
2015-03-30,10638.31,10638.31,10422.96,10422.96,2127078
2015-03-31,10422.96,10487.56,10422.96,10422.96,1698597
2015-04-01,10487.56,10487.56,10272.21,10272.21,1257983
2015-04-02,10293.75,10444.49,10272.21,10358.35,1244612
2015-04-03,10444.49,10509.1,10358.35,10509.1,773798
2015-04-06,10509.1,10573.7,10444.49,10444.49,903767
2015-04-07,10422.96,10552.17,10422.96,10530.63,929730
2015-04-08,10552.17,10573.7,10509.1,10530.63,889795
2015-04-09,10530.63,10552.17,10444.49,10530.63,1202446
2015-04-10,10530.63,10638.31,10509.1,10595.24,1602815
2015-04-13,10595.24,10638.31,10573.7,10595.24,761822
2015-04-14,10595.24,10595.24,10487.56,10487.56,1041500
2015-04-15,10530.63,10552.17,10444.49,10530.63,1170777
2015-04-16,10530.63,10595.24,10487.56,10509.1,709670
2015-04-17,10530.63,11090.54,10530.63,10982.87,6954567
2015-04-20,10982.87,10982.87,10745.98,10875.19,1665557
2015-04-21,10875.19,10982.87,10767.52,10767.52,1225756
2015-04-22,10767.52,10982.87,10767.52,10767.52,2705759
2015-04-23,10875.19,10982.87,10724.45,10875.19,2978436
2015-04-24,10875.19,10982.87,10767.52,10875.19,1246372
2015-04-27,11090.54,11305.89,10982.87,11090.54,2956846
2015-05-04,11090.54,11198.22,10552.17,10638.31,3799753
2015-05-05,10638.31,10875.19,10595.24,10767.52,2156612
2015-05-06,10767.52,10875.19,10681.38,10681.38,1888025
2015-05-07,10724.45,10875.19,10681.38,10745.98,1223900
2015-05-08,10745.98,10875.19,10745.98,10745.98,1119467
2015-05-11,10767.52,10767.52,10681.38,10702.91,1064810
2015-05-12,10702.91,10702.91,10595.24,10595.24,1175932
2015-05-13,10595.24,10616.77,10487.56,10595.24,2188745
2015-05-14,10552.17,10681.38,10552.17,10616.77,1323321
2015-05-15,10638.31,10681.38,10573.7,10573.7,1127314
2015-05-18,10552.17,10595.24,10509.1,10509.1,2290394
2015-05-19,10487.56,10595.24,10487.56,10595.24,2351572
2015-05-20,10681.38,10982.87,10659.84,10982.87,8780429
2015-05-21,10982.87,11413.57,10875.19,11305.89,47955250
2015-05-22,11305.89,11413.57,11198.22,11198.22,13369183
2015-05-25,11198.22,11628.92,11198.22,11628.92,5545094
2015-05-26,11521.24,11628.92,11413.57,11413.57,4706923
2015-05-27,11305.89,11521.24,11198.22,11305.89,5649900
2015-05-28,11268.21,11367.27,11169.14,11243.44,4677505
